proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36403e-01,0,223,272
1,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62508e+05,2,175,159
2,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36385e-01,0,241,469
3,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36383e-01,0,203,186
4,-1206.45379,1.00000e+12,-1,-1206.82583,1.00000e+12,0.37204,5.62423e+05,2,171,181
5,-1206.37341,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45242,2.51045e+04,0,219,613
6,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36383e-01,0,223,272
7,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45951,1.90815e+04,0,203,518
8,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36385e-01,0,241,269
9,-1206.38807,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42632e+04,0,213,142
10,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36383e-01,0,213,182
11,-1206.38806,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42545e+04,0,235,359
12,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90860e+04,1,201,343
13,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62511e+05,2,171,630
14,-1206.07421,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75162,2.36254e-01,0,225,393
15,-1206.38807,1.00000e+12,-1,-1206.40519,1.00000e+12,0.43775,4.42669e+04,0,213,142
16,-1206.59298,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23284,1.22584e+08,1,197,131
17,-1206.38806,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42508e+04,0,217,142
18,-1206.38806,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42544e+04,0,213,142
19,-1206.37342,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45241,2.51142e+04,0,231,2427
20,-1206.45379,1.00000e+12,-1,-1206.82583,1.00000e+12,0.37204,5.62418e+05,2,169,789
21,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90804e+04,1,199,225
22,-1206.38804,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43778,4.42193e+04,0,233,217
23,-1206.38805,1.00000e+12,-1,-1206.40519,1.00000e+12,0.43777,4.42350e+04,0,223,539
24,-1206.37340,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45242,2.50996e+04,0,227,457
25,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90804e+04,1,199,346
26,-1206.37343,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45239,2.51264e+04,0,225,570
27,-1206.59298,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23284,1.22584e+08,2,197,131
28,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90869e+04,1,201,864
29,-1206.59298,1.00000e+12,-1,-1206.82582,1.00000e+12,0.23285,1.22558e+08,15,197,131
30,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90859e+04,1,199,225
31,-1206.37342,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51214e+04,0,221,332
32,-1206.38805,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43777,4.42314e+04,0,217,552
33,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45951,1.90814e+04,0,197,239
34,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90870e+04,0,201,225
35,-1206.37343,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51214e+04,0,221,2114
36,-1206.59299,1.00000e+12,1,-1206.82583,1.00000e+12,0.23284,1.22611e+08,1,197,131
