proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1206.59298,1.00000e+12,1,-1206.82582,1.00000e+12,0.23285,1.22554e+08,14,187,7703
1,-1206.59298,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23284,1.22576e+08,16,193,2256
2,-1206.59298,1.00000e+12,-1,-1206.82582,1.00000e+12,0.23285,1.22550e+08,21,193,564
3,-1206.11091,1.00000e+12,-1,-1206.11184,1.00000e+12,0.71491,9.77348e-01,2,217,1196
4,-1206.11092,1.00000e+12,-1,-1206.11184,1.00000e+12,0.71490,9.77646e-01,0,241,1144
5,-1206.59298,1.00000e+12,-1,-1206.82583,1.00000e+12,0.23284,1.22580e+08,11,185,9707
6,-1206.37342,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45240,2.51173e+04,1,221,782
7,-1206.11093,1.00000e+12,-1,-1206.11184,1.00000e+12,0.71489,9.78086e-01,1,211,1850
8,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45952,1.90759e+04,0,199,1067
9,-1206.11092,1.00000e+12,-1,-1206.11184,1.00000e+12,0.71491,9.77439e-01,0,195,816
