step-number,reactant-id,process-id,product-id,step-time,total-time,barrier,rate,energy
0,0,7,1,2.228074e-13,2.228074e-13,0.053820,8.664960e+10,-1768.014189
1,1,11,2,8.663004e-14,3.094374e-13,0.048870,1.082460e+11,-1768.022740
2,2,3,3,1.198845e-13,4.293219e-13,0.059430,7.334410e+10,-1768.764810
3,3,8,4,1.079238e-12,1.508560e-12,0.052850,9.779170e+10,-1768.708630
4,4,14,5,2.139774e-12,3.648334e-12,0.048210,9.570490e+10,-1768.720420
5,5,9,6,7.717144e-13,4.420048e-12,0.049800,1.020350e+11,-1768.749680
6,6,5,7,3.995731e-13,4.819621e-12,0.023420,2.904830e+11,-1768.767830
7,7,4,8,2.831561e-13,5.102777e-12,0.006440,4.253540e+11,-1769.520360
8,8,5,9,3.598642e-12,8.701419e-12,0.006220,3.465280e+11,-1770.352600
9,9,0,8,1.053272e-12,9.754691e-12,0.054560,9.125370e+10,-1770.400940
10,8,3,10,7.872248e-13,1.054192e-11,0.002050,3.812000e+11,-1770.352600
11,10,3,11,7.608519e-13,1.130277e-11,0.043820,1.370100e+11,-1770.413210
12,11,9,12,7.304366e-12,1.860713e-11,0.000010,8.875160e+10,-1770.377320
13,12,12,13,5.851014e-13,1.919223e-11,0.071740,2.858510e+10,-1770.386770
14,13,5,14,3.906765e-13,1.958291e-11,0.018010,1.892690e+11,-1770.319220
15,14,5,15,4.364035e-12,2.394695e-11,0.055440,7.605850e+10,-1770.854050
16,15,0,14,3.130528e-13,2.426000e-11,0.002880,3.944270e+11,-1770.801490
17,14,11,16,4.108104e-13,2.467081e-11,0.064540,6.259500e+10,-1770.854050
