proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1770.71606,1.00000e+12,19,-1770.79373,1.00000e+12,0.00264,9.02922e+11,3
1,-1770.56926,1.00000e+12,-1,-1772.34535,1.00000e+12,0.14944,3.08706e+09,5
2,-1770.26491,1.00000e+12,-1,-1771.08324,1.00000e+12,0.45379,2.38038e+04,1
3,-1770.71469,1.00000e+12,-1,-1770.78140,1.00000e+12,0.00401,8.56234e+11,7
4,-1770.52080,1.00000e+12,-1,-1771.62838,1.00000e+12,0.19790,4.73583e+08,1
5,-1770.49882,1.00000e+12,-1,-1771.67474,1.00000e+12,0.21988,2.02389e+08,3
6,-1770.71751,1.00000e+12,-1,-1770.77943,1.00000e+12,0.00119,9.55191e+11,2
7,-1770.46380,1.00000e+12,-1,-1770.64255,1.00000e+12,0.25490,5.22277e+07,1
8,-1770.71621,1.00000e+12,-1,-1770.79698,1.00000e+12,0.00249,9.08315e+11,3
9,-1770.51682,1.00000e+12,-1,-1770.72954,1.00000e+12,0.20188,4.06032e+08,0
10,-1770.51282,1.00000e+12,-1,-1770.72477,1.00000e+12,0.20588,3.47788e+08,3
