state,number of saddle,sum force call minimization,sum force call saddle,total force call,% force call minimization,% force call saddle
0,11,3975,4036,8011,49.61927349893896,50.38072650106104
1,15,3229,1950,5179,62.34794361845916,37.65205638154084
2,16,3846,2531,6377,60.3104908264074,39.6895091735926
3,13,3401,2304,5705,59.61437335670465,40.38562664329535
4,12,2848,2404,5252,54.22696115765423,45.77303884234577
5,16,3030,3575,6605,45.87433762301287,54.12566237698713
6,14,2884,2711,5595,51.54602323503128,48.45397676496872
7,7,1531,1498,3029,50.54473423572136,49.45526576427864
8,7,1577,1093,2670,59.06367041198502,40.93632958801498
9,16,3626,3997,7623,47.56657483930211,52.43342516069789
10,11,2329,2009,4338,53.68833563854311,46.31166436145689
11,11,2205,2217,4422,49.864314789687924,50.135685210312076
12,10,1966,1427,3393,57.94282346006484,42.05717653993516
13,11,2213,1826,4039,54.79078979945531,45.20921020054469
14,25,6353,4410,10763,59.02629378426089,40.97370621573911
15,11,2213,1884,4097,54.01513302416402,45.98486697583598
16,27,6911,5081,11992,57.630086724482986,42.369913275517014
17,12,2744,1498,4242,64.68646864686468,35.31353135313531
18,12,2642,1421,4063,65.02584297317253,34.97415702682747
19,15,3389,2243,5632,60.17400568181818,39.82599431818182
20,12,2670,1568,4238,63.00141576215196,36.99858423784804
21,14,3122,2171,5293,58.98356319667485,41.01643680332515
