proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1770.10075,2.77324e+13,4,-1770.11944,1.02609e+12,1.31808,1.99642e-09,0
1,-1771.17420,2.20481e+12,-1,-1771.36198,1.78366e+12,0.24463,1.71286e+08,1
2,-1771.37553,6.94031e+11,6,-1772.21864,1.97179e+12,0.04330,1.30031e+11,8
3,-1771.34606,6.71740e+11,-1,-1771.39289,6.74716e+11,0.07277,4.02533e+10,7
4,-1771.19519,2.26520e+12,-1,-1771.41699,1.14417e+12,0.22364,3.96423e+08,1
5,-1771.37236,7.06376e+11,-1,-1771.44056,5.71995e+11,0.04647,1.17065e+11,8
6,-1770.88393,7.64584e+12,-1,-1770.90659,9.86943e+11,0.53490,7.89807e+03,2
7,-1771.16595,2.14073e+12,-1,-1771.33630,1.83824e+12,0.25288,1.20895e+08,1
8,-1770.90731,7.70052e+12,-1,-1770.93316,9.70732e+11,0.51152,1.96483e+04,2
9,-1770.88455,9.36171e+12,-1,-1770.89750,1.15280e+12,0.53428,9.90405e+03,1
10,-1770.88678,1.08395e+13,-1,-1770.90557,1.42059e+12,0.53205,1.25027e+04,1
11,-1770.88377,1.05498e+13,-1,-1770.89884,1.38368e+12,0.53506,1.08295e+04,1
12,-1770.88193,9.22560e+12,-1,-1770.89442,1.14829e+12,0.53690,8.82169e+03,1
13,-1771.16810,2.22134e+12,-1,-1771.36527,1.67845e+12,0.25073,1.36338e+08,0
14,-1771.15613,2.10862e+12,-1,-1771.33564,1.83602e+12,0.26270,8.14330e+07,0
15,-1771.14808,2.17823e+12,-1,-1771.33301,1.93506e+12,0.27075,6.16127e+07,0
