proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1768.05624,4.17845e+13,2,-1768.06468,1.12610e+12,1.28976,8.99569e-09,0
1,-1769.27963,6.84923e+11,-1,-1769.32847,6.70089e+11,0.06637,5.25645e+10,5
2,-1769.08752,2.14969e+12,-1,-1769.27771,1.70846e+12,0.25848,9.77451e+07,0
3,-1769.29274,7.24994e+11,-1,-1769.36171,5.93814e+11,0.05326,9.23823e+10,1
4,-1769.29588,7.04010e+11,-1,-1769.34607,6.04771e+11,0.05012,1.01312e+11,1
5,-1769.28270,6.24404e+11,-1,-1769.33707,7.02778e+11,0.06330,5.39521e+10,1
6,-1769.29556,7.19802e+11,-1,-1770.10213,2.02813e+12,0.05044,1.02297e+11,4
7,-1769.28400,7.01237e+11,-1,-1769.33140,6.68971e+11,0.06200,6.37362e+10,1
8,-1769.29807,6.90828e+11,-1,-1770.13117,2.01427e+12,0.04793,1.08210e+11,0
9,-1769.28724,7.23549e+11,-1,-1769.34750,6.27508e+11,0.05876,7.45288e+10,2
10,-1769.30019,7.50242e+11,-1,-1770.11944,2.24228e+12,0.04581,1.27554e+11,5
11,-1769.30721,6.94485e+11,4,-1770.11944,2.07264e+12,0.03879,1.54911e+11,1
12,-1769.30751,6.64974e+11,-1,-1770.09798,2.51198e+12,0.03849,1.50023e+11,1
13,-1769.29078,7.01746e+11,-1,-1769.35187,6.30690e+11,0.05522,8.28797e+10,2
