proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1768.80465,1.00000e+12,-1,-1768.84221,1.00000e+12,0.78711,5.98660e-02,0,395,319
1,-1768.82958,1.00000e+12,-1,-1769.47356,1.00000e+12,0.76217,1.57053e-01,0,517,311
2,-1768.79702,1.00000e+12,-1,-1768.83487,1.00000e+12,0.79474,4.45696e-02,1,395,321
3,-1768.83843,1.00000e+12,-1,-1770.17290,1.00000e+12,0.75333,2.21131e-01,0,473,585
4,-1769.50177,1.00000e+12,-1,-1769.54564,1.00000e+12,0.08999,3.07804e+10,30,341,319
5,-1769.55086,1.00000e+12,-1,-1774.99453,1.00000e+12,0.04089,2.05589e+11,1,867,342
6,-1769.55728,1.00000e+12,-1,-1771.18461,1.00000e+12,0.03448,2.63491e+11,15,455,331
7,-1769.53628,1.00000e+12,-1,-1770.92850,1.00000e+12,0.05548,1.16943e+11,0,507,422
8,-1769.57908,1.00000e+12,-1,-1770.85653,1.00000e+12,0.01268,6.12353e+11,5,509,457
9,-1769.54616,1.00000e+12,-1,-1769.56834,1.00000e+12,0.04560,1.71381e+11,0,347,378
10,-1769.56060,1.00000e+12,1,-1772.95154,1.00000e+12,0.03116,2.99615e+11,1,573,454
