proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1772.04051,1.00000e+12,-1,-1772.09035,1.00000e+12,0.05673,1.11440e+11,6,251,145
1,-1771.88789,1.00000e+12,-1,-1772.17251,1.00000e+12,0.20934,3.04220e+08,0,311,260
2,-1772.03705,1.00000e+12,-1,-1772.08592,1.00000e+12,0.06018,9.74996e+10,1,239,147
3,-1772.03870,1.00000e+12,1,-1772.09079,1.00000e+12,0.05853,1.03933e+11,6,249,182
4,-1771.82761,1.00000e+12,-1,-1772.09545,1.00000e+12,0.26962,2.95492e+07,0,393,346
5,-1772.03995,1.00000e+12,-1,-1772.08902,1.00000e+12,0.05729,1.09055e+11,5,251,147
6,-1771.67952,1.00000e+12,-1,-1772.19116,1.00000e+12,0.41772,9.60947e+04,1,277,272
7,-1771.67028,1.00000e+12,-1,-1772.16922,1.00000e+12,0.42695,6.72233e+04,1,275,186
8,-1772.03931,1.00000e+12,-1,-1772.10301,1.00000e+12,0.05792,1.06395e+11,0,239,144
9,-1772.03437,1.00000e+12,-1,-1772.08628,1.00000e+12,0.06287,8.78774e+10,5,239,147
10,-1771.82916,1.00000e+12,-1,-1772.09752,1.00000e+12,0.26807,3.13730e+07,0,389,204
