proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1769.36775,1.00000e+12,-1,-1769.40849,1.00000e+12,0.78300,7.01726e-02,1,401,200
1,-1769.34250,1.00000e+12,-1,-1769.39523,1.00000e+12,0.80824,2.64322e-02,1,421,219
2,-1770.13320,1.00000e+12,-1,-1770.82972,1.00000e+12,0.01755,5.07236e+11,3,427,401
3,-1770.08572,1.00000e+12,-1,-1770.13937,1.00000e+12,0.06503,8.08341e+10,13,339,319
4,-1770.13257,1.00000e+12,-1,-1770.82972,1.00000e+12,0.01818,4.95076e+11,9,391,344
5,-1770.09334,1.00000e+12,-1,-1770.15700,1.00000e+12,0.05741,1.08542e+11,11,349,291
6,-1770.10418,1.00000e+12,1,-1770.15590,1.00000e+12,0.04657,1.65050e+11,0,375,289
7,-1770.07780,1.00000e+12,-1,-1770.12995,1.00000e+12,0.07295,5.95043e+10,5,343,299
8,-1770.13773,1.00000e+12,-1,-1772.22744,1.00000e+12,0.01302,6.04385e+11,0,495,346
9,-1770.07359,1.00000e+12,-1,-1770.12098,1.00000e+12,0.07716,5.05580e+10,0,357,542
