proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62517e+05,3,175,546
1,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36398e-01,0,221,384
2,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62525e+05,3,171,196
3,-1206.36633,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90878e+04,1,199,862
4,-1206.37342,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45240,2.51169e+04,0,225,311
5,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36409e-01,0,217,459
6,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36409e-01,0,211,264
7,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90793e+04,0,199,349
8,-1206.38806,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42536e+04,0,215,142
9,-1206.38804,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43778,4.42150e+04,0,221,217
10,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90844e+04,1,205,343
11,-1206.07421,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75162,2.36267e-01,0,255,243
12,-1206.38806,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43776,4.42549e+04,0,219,142
13,-1206.07422,1.00000e+12,-1,-1206.82582,1.00000e+12,0.75160,2.36409e-01,0,209,189
14,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62525e+05,2,173,710
15,-1206.59298,1.00000e+12,-1,-1206.82582,1.00000e+12,0.23285,1.22549e+08,3,199,131
16,-1206.38806,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43777,4.42452e+04,0,215,142
17,-1206.38806,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43777,4.42467e+04,2,215,142
18,-1206.37342,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45240,2.51158e+04,0,217,308
19,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90791e+04,0,201,225
20,-1206.38804,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43778,4.42137e+04,0,235,217
21,-1206.08030,1.00000e+12,-1,-1206.82582,1.00000e+12,0.74552,2.99065e-01,0,285,2975
22,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62517e+05,3,173,196
23,-1206.38805,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43778,4.42233e+04,0,211,868
24,-1206.37342,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45240,2.51158e+04,0,233,369
25,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90791e+04,1,201,415
26,-1206.37343,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51232e+04,0,225,760
27,-1206.59298,1.00000e+12,-1,-1206.82582,1.00000e+12,0.23285,1.22549e+08,4,199,131
28,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90848e+04,1,201,980
29,-1206.59297,1.00000e+12,1,-1206.82582,1.00000e+12,0.23285,1.22544e+08,7,199,131
30,-1206.36632,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45950,1.90845e+04,1,201,225
31,-1206.37343,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51221e+04,0,227,311
32,-1206.38805,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43778,4.42218e+04,0,205,626
33,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90794e+04,0,201,225
34,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90792e+04,0,203,932
35,-1206.37343,1.00000e+12,-1,-1206.82583,1.00000e+12,0.45240,2.51220e+04,0,227,310
36,-1206.59298,1.00000e+12,-1,-1206.82582,1.00000e+12,0.23285,1.22554e+08,1,199,131
