proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62515e+05,7,169,261
1,-1206.59298,1.00000e+12,-1,-1206.82582,1.00000e+12,0.23285,1.22549e+08,8,191,506
2,-1206.59298,1.00000e+12,-1,-1206.82582,1.00000e+12,0.23285,1.22554e+08,6,189,10988
3,-1206.59297,1.00000e+12,-1,-1206.82582,1.00000e+12,0.23285,1.22544e+08,9,195,1341
4,-1206.11094,1.00000e+12,-1,-1206.11184,1.00000e+12,0.71489,9.78161e-01,0,223,2495
5,-1206.59298,1.00000e+12,1,-1206.82582,1.00000e+12,0.23285,1.22549e+08,11,193,500
6,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62524e+05,2,171,300
7,-1206.36631,1.00000e+12,-1,-1206.82582,1.00000e+12,0.45951,1.90791e+04,1,203,671
8,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62525e+05,3,171,255
9,-1206.38806,1.00000e+12,-1,-1206.40518,1.00000e+12,0.43777,4.42467e+04,0,221,1046
10,-1206.45379,1.00000e+12,-1,-1206.82582,1.00000e+12,0.37203,5.62517e+05,0,177,269
