state,number of saddle,sum force call minimization,sum force call saddle,total force call,% force call minimization,% force call saddle
0,10,3630,3606,7236,50.165837479270316,49.834162520729684
1,15,3213,1934,5147,62.42471342529629,37.57528657470371
2,14,2984,1965,4949,60.29500909274601,39.70499090725399
3,15,3367,2045,5412,62.21359940872136,37.78640059127864
4,15,3051,2117,5168,59.03637770897833,40.96362229102167
5,14,2812,2133,4945,56.865520728008086,43.134479271991914
6,14,2974,1939,4913,60.533279055566865,39.466720944433135
7,13,2883,2255,5138,56.11132736473336,43.88867263526664
8,12,3872,2636,6508,59.496004917025196,40.503995082974804
9,12,3550,2058,5608,63.302425106990015,36.697574893009985
10,14,3814,2087,5901,64.63311303168955,35.36688696831045
11,11,4407,2154,6561,67.16963877457705,32.830361225422955
12,13,3531,2981,6512,54.222972972972975,45.777027027027025
13,11,2947,1848,4795,61.45985401459854,38.54014598540146
14,13,2509,2754,5263,47.67243017290519,52.32756982709481
15,13,3117,1959,5076,61.406619385342786,38.593380614657214
16,12,2646,1737,4383,60.369609856262834,39.630390143737166
17,13,2969,2225,5194,57.162110127069695,42.837889872930305
18,13,3931,1982,5913,66.48063588702858,33.51936411297142
19,12,3458,1762,5220,66.24521072796935,33.75478927203065
20,11,3073,1398,4471,68.73182733169314,31.268172668306867
