proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1768.69988,7.18993e+11,5,-1768.74968,7.00478e+11,0.06795,5.19059e+10,3
1,-1768.76590,3.94326e+11,-1,-1768.82440,7.37441e+11,0.00193,3.66016e+11,1
2,-1768.69313,6.48639e+11,-1,-1768.69543,4.28928e+11,0.07470,3.60698e+10,1
3,-1768.76373,6.23286e+11,-1,-1770.86028,5.98469e+13,0.00410,5.31802e+11,7
4,-1768.68926,4.68851e+11,-1,-1768.73441,5.87297e+11,0.07857,2.24471e+10,3
5,-1768.74441,7.18677e+11,7,-1769.52036,3.16422e+12,0.02342,2.90483e+11,4
6,-1768.70908,7.30321e+11,-1,-1768.71306,4.38015e+11,0.05875,7.52501e+10,1
7,-1768.73560,9.33579e+11,-1,-1769.52036,4.10412e+12,0.03223,2.68387e+11,4
8,-1768.69094,4.58360e+11,-1,-1768.73708,6.09806e+11,0.07689,2.34140e+10,3
9,-1768.72081,7.50852e+11,-1,-1768.73140,5.65461e+11,0.04702,1.21793e+11,1
10,-1768.68419,7.50483e+11,-1,-1768.68456,2.58288e+11,0.08364,2.95313e+10,1
11,-1768.68732,4.80747e+11,-1,-1768.73446,6.45312e+11,0.08051,2.13522e+10,3
12,-1768.76419,4.10349e+11,-1,-1768.81905,7.76843e+11,0.00364,3.56443e+11,1
13,-1768.69700,6.66666e+11,-1,-1768.74378,6.09859e+11,0.07083,4.30537e+10,3
