step-number,reactant-id,process-id,product-id,step-time,total-time,barrier,rate,energy
0,0,4,1,1.913014e-13,1.913014e-13,0.053820,8.669060e+10,-1768.014189
1,1,2,2,7.252298e-14,2.638244e-13,0.050190,9.453540e+10,-1768.022740
2,2,11,3,1.288340e-13,3.926584e-13,0.040670,1.413420e+11,-1768.064680
3,3,3,4,6.152324e-13,1.007891e-12,0.007760,8.968090e+11,-1768.835330
4,4,6,5,1.200321e-12,2.208211e-12,0.018690,4.979510e+11,-1770.119440
5,5,2,6,1.519820e-13,2.360193e-12,0.043300,1.300310e+11,-1771.418830
6,6,2,7,2.164160e-12,4.524353e-12,0.069280,4.336520e+10,-1772.218640
7,7,0,6,1.230461e-13,4.647400e-12,0.005740,3.961010e+11,-1772.155100
8,6,2,7,2.352405e-11,2.817145e-11,0.069280,4.336520e+10,-1772.218640
9,7,0,6,2.667299e-12,3.083875e-11,0.005740,3.961010e+11,-1772.155100
10,6,2,7,2.895739e-11,5.979614e-11,0.069280,4.336520e+10,-1772.218640
11,7,0,6,8.848554e-13,6.068099e-11,0.005740,3.961010e+11,-1772.155100
12,6,4,8,4.350080e-11,1.041818e-10,0.069280,4.307020e+10,-1772.218640
13,8,1,9,1.324522e-12,1.055063e-10,0.070680,8.064140e+10,-1772.155100
14,9,10,10,4.664751e-10,5.719814e-10,0.241410,2.424320e+08,-1772.811820
15,10,0,9,4.680251e-10,1.040007e-09,0.221080,5.266230e+08,-1772.791490
16,9,15,11,2.817093e-09,3.857100e-09,0.241870,2.371450e+08,-1772.811820
17,11,1,12,3.960169e-10,4.253117e-09,0.257920,1.027400e+08,-1772.786040
18,12,6,13,5.195366e-10,4.772653e-09,0.183040,1.566540e+09,-1772.706650
19,13,1,14,2.291991e-09,7.064644e-09,0.227740,4.138640e+08,-1772.784980
20,14,17,15,1.159506e-09,8.224150e-09,0.239950,2.569720e+08,-1772.803140
21,15,10,16,9.401600e-10,9.164310e-09,0.229560,3.864660e+08,-1772.783440
22,16,6,17,1.593457e-09,1.075777e-08,0.248710,1.476710e+08,-1772.795780
23,17,11,18,4.494084e-11,1.080271e-08,0.215600,6.180980e+08,-1772.731190
24,18,11,19,7.182379e-11,1.087453e-08,0.168470,2.602670e+09,-1772.721810
25,19,8,20,1.156580e-09,1.203111e-08,0.277680,4.641750e+07,-1772.828670
