proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.55334,2.14594e+12,18,-1772.72181,1.76021e+12,0.27533,5.08492e+07,6
1,-1772.53576,1.61665e+12,-1,-1772.82682,1.60920e+12,0.29291,1.94080e+07,1
2,-1772.32272,9.66972e+12,-1,-1772.82682,9.51654e+12,0.50595,3.06030e+04,2
3,-1772.54022,1.61308e+12,-1,-1772.82867,1.62232e+12,0.28845,2.30140e+07,2
4,-1772.59452,2.74204e+12,-1,-1772.81583,2.77137e+12,0.23415,3.19505e+08,2
5,-1772.40464,1.97855e+12,-1,-1772.83592,1.92433e+12,0.42403,1.48897e+05,4
6,-1772.32931,9.18578e+12,-1,-1772.82867,9.27924e+12,0.49936,3.75120e+04,3
7,-1772.57961,2.72938e+12,-1,-1772.80594,2.76382e+12,0.24906,1.78634e+08,1
8,-1772.55099,2.14540e+12,20,-1772.71708,1.76561e+12,0.27768,4.64175e+07,8
9,-1772.10871,7.41731e+12,-1,-1772.18386,1.20108e+12,0.71996,5.96239e+00,0
10,-1772.27427,1.02055e+13,-1,-1772.28022,9.20167e+11,0.55440,4.95764e+03,2
11,-1772.56085,2.06276e+12,-1,-1772.71975,1.66100e+12,0.26782,6.53573e+07,3
12,-1772.26850,1.31117e+13,-1,-1772.27764,1.32688e+12,0.56017,5.09564e+03,1
13,-1772.27265,9.01093e+12,-1,-1772.27831,7.90082e+11,0.55602,4.11171e+03,1
14,-1772.10045,7.41859e+12,-1,-1772.17641,1.15206e+12,0.72822,4.33235e+00,0
