proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats
0,-1772.10613,7.22377e+12,9,-1772.18096,1.08626e+12,0.72069,5.64578e+00,0
1,-1772.32272,9.50388e+12,-1,-1772.82868,9.76412e+12,0.50410,3.23116e+04,3
2,-1772.58979,2.73124e+12,-1,-1772.81077,2.76479e+12,0.23703,2.84721e+08,2
3,-1772.58980,2.73799e+12,11,-1772.81078,2.78989e+12,0.23702,2.85494e+08,1
4,-1772.55371,2.06031e+12,-1,-1772.71440,1.69255e+12,0.27311,5.32044e+07,8
5,-1772.55343,2.12773e+12,-1,-1772.71946,1.76172e+12,0.27339,5.43458e+07,10
6,-1772.32272,9.48771e+12,-1,-1772.82868,9.69324e+12,0.50410,3.22595e+04,1
7,-1772.37994,1.89217e+12,-1,-1772.80221,2.00379e+12,0.44688,5.88385e+04,6
8,-1772.55343,2.09442e+12,-1,-1772.71946,1.74479e+12,0.27339,5.34891e+07,4
9,-1772.26866,1.20478e+13,-1,-1772.27705,1.19149e+12,0.55816,5.06154e+03,2
10,-1772.27050,1.02351e+13,-1,-1772.27688,9.29376e+11,0.55632,4.61752e+03,1
11,-1772.27050,1.02349e+13,-1,-1772.27688,9.32636e+11,0.55632,4.61749e+03,0
12,-1772.53577,1.60594e+12,-1,-1772.82868,1.60506e+12,0.29105,2.07143e+07,3
