proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1768.02304,1.00000e+12,-1,-1768.08527,1.00000e+12,0.05672,1.11460e+11,0,309,248
1,-1768.02517,1.00000e+12,1,-1768.09019,1.00000e+12,0.05459,1.21025e+11,2,303,231
2,-1768.04476,1.00000e+12,-1,-1768.78181,1.00000e+12,0.03499,2.58294e+11,3,407,272
3,-1768.05539,1.00000e+12,-1,-1769.50814,1.00000e+12,0.02437,3.89631e+11,5,453,547
4,-1768.05164,1.00000e+12,-1,-1768.70825,1.00000e+12,0.02812,3.36950e+11,1,405,248
5,-1767.99054,1.00000e+12,-1,-1768.03165,1.00000e+12,0.08922,3.17106e+10,4,303,225
6,-1768.04781,1.00000e+12,-1,-1770.71366,1.00000e+12,0.03195,2.90532e+11,0,563,344
7,-1768.05762,1.00000e+12,-1,-1768.81889,1.00000e+12,0.02214,4.24624e+11,1,597,290
8,-1768.05823,1.00000e+12,-1,-1768.81889,1.00000e+12,0.02153,4.34892e+11,0,433,275
9,-1768.00721,1.00000e+12,-1,-1768.05774,1.00000e+12,0.07255,6.04209e+10,0,307,242
10,-1768.01636,1.00000e+12,-1,-1768.06555,1.00000e+12,0.06340,8.60902e+10,3,317,237
11,-1768.01486,1.00000e+12,-1,-1768.83153,1.00000e+12,0.06490,8.12461e+10,1,385,271
12,-1768.01912,1.00000e+12,-1,-1768.07299,1.00000e+12,0.06064,9.57932e+10,1,313,236
