proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1768.81707,1.00000e+12,-1,-1769.46594,1.00000e+12,0.69240,2.33471e+00,0,561,619
1,-1768.67432,1.00000e+12,-1,-1768.71225,1.00000e+12,0.83515,9.33456e-03,0,565,430
2,-1769.45251,1.00000e+12,-1,-1769.50406,1.00000e+12,0.05696,1.10430e+11,6,507,543
3,-1769.03646,1.00000e+12,-1,-1770.82268,1.00000e+12,0.47301,1.13167e+04,21,639,515
4,-1769.44613,1.00000e+12,-1,-1769.50341,1.00000e+12,0.06334,8.62799e+10,6,485,420
5,-1769.44845,1.00000e+12,-1,-1769.45126,1.00000e+12,0.06102,9.43903e+10,1,501,369
6,-1769.44893,1.00000e+12,-1,-1769.51138,1.00000e+12,0.06054,9.61678e+10,4,505,628
7,-1769.50461,1.00000e+12,1,-1769.56168,1.00000e+12,0.00486,8.28720e+11,1,499,497
8,-1769.28666,1.00000e+12,-1,-1769.49998,1.00000e+12,0.22281,1.80691e+08,0,593,392
9,-1769.45387,1.00000e+12,-1,-1769.52158,1.00000e+12,0.05561,1.16377e+11,1,521,533
