proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1770.21446,1.00000e+12,-1,-1770.72110,1.00000e+12,0.50708,3.02983e+03,0,411,285
1,-1770.66274,1.00000e+12,-1,-1770.70700,1.00000e+12,0.05881,1.02809e+11,1,235,157
2,-1770.66165,1.00000e+12,-1,-1770.71317,1.00000e+12,0.05989,9.85907e+10,9,249,148
3,-1770.66245,1.00000e+12,-1,-1770.71347,1.00000e+12,0.05910,1.01673e+11,6,247,200
4,-1770.66346,1.00000e+12,-1,-1770.70813,1.00000e+12,0.05809,1.05709e+11,8,241,210
5,-1770.66022,1.00000e+12,-1,-1770.71192,1.00000e+12,0.06133,9.32573e+10,9,241,221
6,-1770.66026,1.00000e+12,-1,-1770.71125,1.00000e+12,0.06128,9.34351e+10,2,243,192
7,-1770.66511,1.00000e+12,-1,-1770.72617,1.00000e+12,0.05643,1.12711e+11,1,239,149
8,-1770.42714,1.00000e+12,-1,-1770.71616,1.00000e+12,0.29441,1.13272e+07,0,407,384
9,-1770.66234,1.00000e+12,1,-1770.71195,1.00000e+12,0.05921,1.01245e+11,1,249,188
10,-1770.66280,1.00000e+12,-1,-1770.72688,1.00000e+12,0.05874,1.03074e+11,1,239,151
