proc #,saddle energy,prefactor,product,product energy,product prefactor,barrier,rate,repeats,force call minimization,force call saddle
0,-1769.36172,1.00000e+12,-1,-1770.09364,1.00000e+12,0.78903,5.55742e-02,0,495,255
1,-1769.36775,1.00000e+12,-1,-1769.40849,1.00000e+12,0.78300,7.01728e-02,0,401,162
2,-1769.60946,1.00000e+12,-1,-1769.62263,1.00000e+12,0.54129,8.06804e+02,0,415,492
3,-1770.13773,1.00000e+12,-1,-1772.22744,1.00000e+12,0.01302,6.04386e+11,0,479,406
4,-1770.13257,1.00000e+12,1,-1770.82972,1.00000e+12,0.01817,4.95079e+11,7,425,312
5,-1770.09334,1.00000e+12,-1,-1770.15700,1.00000e+12,0.05741,1.08542e+11,4,349,297
6,-1770.13320,1.00000e+12,-1,-1770.82972,1.00000e+12,0.01755,5.07240e+11,0,421,303
7,-1769.85679,1.00000e+12,-1,-1770.02351,1.00000e+12,0.29396,1.15263e+07,0,381,230
8,-1769.87300,1.00000e+12,-1,-1770.03741,1.00000e+12,0.27775,2.15814e+07,0,381,251
9,-1770.07780,1.00000e+12,-1,-1770.12995,1.00000e+12,0.07295,5.95040e+10,4,343,251
10,-1770.07359,1.00000e+12,-1,-1770.12098,1.00000e+12,0.07716,5.05578e+10,1,359,304
11,-1770.08572,1.00000e+12,-1,-1770.13937,1.00000e+12,0.06503,8.08342e+10,6,347,280
