    wuid       type    barrier   max-dist    sad-fcs   mins-fcs   pref-fcs    result
-------------------------------------------------------------------------------------
      10        kdb    0.00000    0.00000        562        603          0    Not Connected
      11        kdb    0.00000    0.00000        505        615          0    Not Connected
      12        kdb    3.27651    0.00000        509       1063          0    good-0
      13        kdb    0.00000    0.00000        346        709          0    Not Connected
      14        kdb    0.00000    0.00000        583        609          0    Not Connected
      15        kdb    0.00000    0.00000        435        775          0    Not Connected
      16        kdb    0.00000    0.00000        847        609          0    Not Connected
      17        kdb    3.26363    0.00000        585       1041          0    good-1
      18        kdb    0.00000    0.00000        798        675          0    Not Connected
      19        kdb    0.00000    0.00000        775        735          0    Not Connected
      40        kdb    0.00000    0.00000        732        633          0    Not Connected
      41        kdb    0.00000    0.00000        448        621          0    Not Connected
      42        kdb    0.00000    0.00000        385        847          0    Not Connected
      43        kdb    0.00000    0.00000        566       1077          0    Not Connected
      44     random    0.00000    0.00000        698       1123          0    Not Connected
      45     random    0.00000    0.00000       1598        667          0    Not Connected
      46     random    3.26363    0.00000        482       1037          0    repeat-1
      47     random    3.27651    0.00000        440       1061          0    repeat-0
      48     random    0.00000    0.00000        534        765          0    Not Connected
      49     random    0.00000    0.00000        731        743          0    Not Connected
      30        kdb    0.00000    0.00000       1122        607          0    Not Connected
      31        kdb    0.00000    0.00000        673        817          0    Not Connected
      32        kdb    3.34982    0.00000        370        897          0    good-2
      33        kdb    0.00000    0.00000        468        651          0    Not Connected
      34        kdb    0.00000    0.00000       1248        681          0    Not Connected
      35        kdb    3.35140    0.00000        608        897          0    good-3
      36        kdb    0.00000    0.00000        683        863          0    Not Connected
      37        kdb    3.35140    0.00000        642        877          0    repeat-3
      38        kdb    0.00000    0.00000        392        861          0    Not Connected
      39        kdb    0.00000    0.00000        434        851          0    Not Connected
      20        kdb    0.00000    0.00000        360        795          0    Not Connected
      21        kdb    0.00000    0.00000       1030        675          0    Not Connected
      22        kdb    0.00000    0.00000       1131        649          0    Not Connected
      23        kdb    0.00000    0.00000        433        805          0    Not Connected
      24        kdb    0.00000    0.00000        481       1063          0    Not Connected
      25        kdb    0.00000    0.00000        371        843          0    Not Connected
      26        kdb    0.00000    0.00000        556        613          0    Not Connected
      27        kdb    0.00000    0.00000        801        767          0    Not Connected
      28        kdb    3.35140    0.00000        305        891          0    repeat-3
      29        kdb    0.00000    0.00000       1250        695          0    Not Connected
       0        kdb    0.00000    0.00000        692        791          0    Not Connected
       1        kdb    0.00000    0.00000        968        599          0    Not Connected
       2        kdb    0.00000    0.00000       1050        881          0    Not Connected
       3        kdb    3.27651    0.00000        558       1029          0    repeat-0
       4        kdb    0.00000    0.00000       1224        617          0    Not Connected
       5        kdb    0.00000    0.00000        606        737          0    Not Connected
       6        kdb    0.00000    0.00000        432        847          0    Not Connected
       7        kdb    0.00000    0.00000        607        681          0    Not Connected
       8        kdb    0.00000    0.00000        599        749          0    Not Connected
       9        kdb    0.00000    0.00000       1134        643          0    Not Connected
